company_code1|company_code2|company_code3|company_code4|pol_no|app_no|ins_date|app_name|app_cst_no|app_id_type|app_id_no|ins_no|renew_date|pay_date|cur_code|pre_amt|usd_amt|tsf_flag|acc_name|acc_no|acc_bank|receipt_no|endorse_no|pt
"99730000"|"F1008933000019"|""|""|"P997301001201800000003"|"T997301001201800000008"|"20180305"|"山水集团"|"21001111234567890000000000"|"22"|"1234567890"|"11"|""|""|"CNY"|"33920.00"|"-9999.00"|"11"|"山水集团"|"19399901040059741"|"0"|"T997301001201800000008"|"P997301001201800000003-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301001201800000016"|"T997301001201800000134"|"20180626"|"晨芙"|"11200023290732907390739031"|"13"|"329073290739073903"|"11"|""|""|"CNY"|"22429.60"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301001201800000134"|"P997301001201800000016-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301001201800000067"|"T997301001201800000139"|"20181121"|"speck"|"21001122345670000000000000"|"21"|"234567"|"11"|""|""|"CNY"|"9752.00"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301001201800000139"|"P997301001201800000067-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301001201800000068"|"T997301001201800000141"|"20181122"|"speck"|"21001122345670000000000000"|"21"|"234567"|"11"|""|""|"CNY"|"7314.00"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301001201800000141"|"P997301001201800000068-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301001201800000081"|"T997301001201800000169"|"20181226"|"许露露"|"21001117666666666600000000"|"22"|"76666666666"|"11"|""|""|"CNY"|"1060.00"|"-9999.00"|"11"|"许露露"|"null"|"null"|"T997301001201800000169"|"P997301001201800000081-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301001201900000006"|"T997301001201900000019"|"20190211"|"战略客户"|"21100036134324345346000001"|"21"|"6134324345346"|"11"|""|""|"CNY"|"9752.00"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301001201900000019"|"P997301001201900000006-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301001201900000013"|"T997301001201900000046"|"20190319"|"许露西"|"11200038394653490570900007"|"12"|"83946534905709"|"11"|""|""|"CNY"|"4240000.00"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301001201900000046"|"P997301001201900000013-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301001201900000008"|"T997301001201900000051"|"20190313"|"战略客户"|"21100036134324345346000001"|"21"|"6134324345346"|"11"|""|""|"CNY"|"319699.73"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301001201900000051"|"P997301001201900000008-10"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301001201900000015"|"T997301001201900000054"|"20190326"|"战略客户"|"21100036134324345346000001"|"21"|"6134324345346"|"11"|""|""|"CNY"|"97520.00"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301001201900000054"|"P997301001201900000015-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301001201900000029"|"T997301001201900000089"|"20190411"|"许露露"|"11200028435608349053790401"|"13"|"84356083490537904"|"11"|""|""|"CNY"|"15900.00"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301001201900000089"|"P997301001201900000029-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301002201800000015"|"T997301002201800000019"|"20180424"|"lll"|"11200092220000000000000000"|"18"|"222"|"11"|""|""|"CNY"|"0.11"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301002201800000019"|"P997301002201800000015-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301002201800000063"|"T997301002201800000129"|"20180710"|"门左右卫"|"21001121241231244123400000"|"21"|"12412312441234"|"11"|""|""|"CNY"|"7314.00"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301002201800000129"|"P997301002201800000063-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301002201800000084"|"T997301002201800000171"|"20180815"|"再保账单测试"|"21001119876543210000000000"|"22"|"987654321"|"11"|""|""|"CNY"|"1060.00"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301002201800000171"|"P997301002201800000084-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301002201900000001"|"T997301002201900000019"|"20190109"|"蓝忘机"|"11200021341415414500000000"|"13"|"13414154145"|"11"|""|""|"CNY"|"9508.20"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301002201900000019"|"P997301002201900000001-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301002201900000010"|"T997301002201900000024"|"20190319"|"许露露"|"11200034839568348503409705"|"12"|"48395683485034097"|"11"|""|""|"CNY"|"1097100.00"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301002201900000024"|"P997301002201900000010-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301002201900000011"|"T997301002201900000027"|"20190326"|"玉藻前葫芦兄弟黑科技股份有限公司"|"21001128000000008000000000"|"21"|"8000000008"|"11"|""|""|"CNY"|"2120000.00"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301002201900000027"|"P997301002201900000011-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301002201900000013"|"T997301002201900000035"|"20190327"|"测试数据001"|"21001121111111111111111116"|"21"|"11111111111111111111"|"11"|""|""|"CNY"|"5927.81"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301002201900000035"|"P997301002201900000013-02"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301002201800000016"|"T997301002201900000055"|"20180514"|"测试不摇动"|"11200021241412300000000000"|"13"|"12414123"|"11"|""|""|"CNY"|"649.99"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301002201900000055"|"P997301002201800000016-03"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301002201900000019"|"T997301002201900000058"|"20190417"|"许露露"|"11200033948509940375903006"|"12"|"3948509940375903"|"11"|""|""|"CNY"|"21200.00"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301002201900000058"|"P997301002201900000019-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301002201900000029"|"T997301002201900000090"|"20190514"|"魏无羡"|"11200024315145140000000000"|"13"|"431514514"|"11"|""|""|"CNY"|"21200.00"|"-9999.00"|"11"|"魏无羡"|"null"|"null"|"T997301002201900000090"|"P997301002201900000029-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301003201800000008"|"T997301003201800000017"|"20180523"|"王晓"|"11200013203221991013091237"|"11"|"320322199101309123"|"11"|""|""|"CNY"|"3612.71"|"-9999.00"|"11"|"王晓"|"19399901040059741"|"0"|"T997301003201800000017"|"P997301003201800000008-02"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301003201800000015"|"T997301003201800000032"|"20180712"|"王晓"|"11200013203221991013091237"|"11"|"320322199101309123"|"11"|""|""|"CNY"|"9752.00"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301003201800000032"|"P997301003201800000015-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301003201800000033"|"T997301003201800000075"|"20181008"|"蓝忘机"|"11200021341415414500000000"|"13"|"13414154145"|"11"|""|""|"CNY"|"23850.00"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301003201800000075"|"P997301003201800000033-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301003201800000037"|"T997301003201800000079"|"20181101"|"蓝忘机"|"11200021341415414500000000"|"13"|"13414154145"|"11"|""|""|"CNY"|"35333.33"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301003201800000079"|"P997301003201800000037-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301003201800000038"|"T997301003201800000081"|"20181101"|"蓝忘机"|"11200021341415414500000000"|"13"|"13414154145"|"11"|""|""|"CNY"|"7172.67"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301003201800000081"|"P997301003201800000038-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301003201800000051"|"T997301003201900000052"|"20181226"|"蓝忘机"|"11200021341415414500000000"|"13"|"13414154145"|"11"|""|""|"CNY"|"522.34"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301003201900000052"|"P997301003201800000051-02"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301003201900000020"|"T997301003201900000055"|"20190417"|"许露露"|"11200039346507034997500003"|"12"|"934650703499750"|"11"|""|""|"CNY"|"21200.00"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301003201900000055"|"P997301003201900000020-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301003201900000036"|"T997301003201900000122"|"20190709"|"杨成松"|"11200025465768767564000001"|"13"|"5465768767564"|"11"|""|""|"CNY"|"813.74"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301003201900000122"|"P997301003201900000036-03"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301007201800000017"|"T997301007201800000021"|"20180630"|"许露露"|"11200023574039570943750901"|"13"|"35740395709437509"|"11"|""|""|"CNY"|"106000.00"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301007201800000021"|"P997301007201800000017-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301007201800000018"|"T997301007201800000024"|"20180710"|"许露露"|"11200033097950479057340941"|"12"|"3097950479057340943"|"11"|""|""|"CNY"|"107060.00"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301007201800000024"|"P997301007201800000018-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301007201900000004"|"T997301007201900000010"|"20190227"|"许露露"|"11200023649837974000000000"|"13"|"36498379740"|"11"|""|""|"CNY"|"2120000.00"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301007201900000010"|"P997301007201900000004-02"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301007201900000005"|"T997301007201900000012"|"20190227"|"许露露"|"11200023649837974000000000"|"13"|"36498379740"|"11"|""|""|"CNY"|"1584700.00"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301007201900000012"|"P997301007201900000005-03"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301007201900000006"|"T997301007201900000015"|"20190227"|"许露露"|"11200023649837974000000000"|"13"|"36498379740"|"11"|""|""|"CNY"|"397500.00"|"-9999.00"|"11"|"许露露"|"null"|"null"|"T997301007201900000015"|"P997301007201900000006-02"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301602201700000009"|"T997301602201700000009"|"20171217"|"软通测试数据—1217"|"21100092017121700000000000"|"22"|"20171217"|"11"|""|""|"CNY"|"2570.00"|"-9999.00"|"11"|"软通测试数据—1217"|"19399901040059741"|"0"|"T997301602201700000009"|"P997301602201700000009-02"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301602201700000010"|"T997301602201700000016"|"20171220"|"买买提.买买提"|"11200021231231231231231233"|"13"|"123123123123123123"|"11"|""|""|"CNY"|"620000.00"|"-9999.00"|"11"|"买买提.买买提"|"19399901040059741"|"0"|"T997301602201700000016"|"P997301602201700000010-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301602201800000022"|"T997301602201800000040"|"20180204"|"上海宏盛电子有限公司"|"21001129900022093300000000"|"21"|"99000220933"|"11"|""|""|"CNY"|"30000.00"|"-9999.00"|"11"|"上海宏盛电子有限公司"|"19399901040059741"|"0"|"T997301602201800000040"|"P997301602201800000022-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301602201800000043"|"T997301602201800000082"|"20180802"|"山水集团"|"21001111234567890000000000"|"22"|"1234567890"|"11"|""|""|"CNY"|"1272.00"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301602201800000082"|"P997301602201800000043-02"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301700201800000022"|"T997301700201800000046"|"20180720"|"许露露"|"11200023209373902739203201"|"13"|"32093739027392032"|"11"|""|""|"CNY"|"2226.00"|"-9999.00"|"10"|"null"|"null"|"null"|"T997301700201800000046"|"P997301700201800000022-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301803201800000004"|"T997301803201800000007"|"20180202"|"去年买了个表有限公司"|"11200091234560000000000000"|"18"|"123456"|"11"|""|""|"CNY"|"10011.00"|"-9999.00"|"11"|"阿尔法罗密欧经销商"|"19399901040059741"|"0"|"T997301803201800000007"|"P997301803201800000004-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301806201900000001"|"T997301806201900000002"|"20190313"|"许露露"|"11200020875040395970349055"|"13"|"087504039597034905"|"11"|""|""|"CNY"|"4014.10"|"-9999.00"|"11"|"许露露"|"null"|"null"|"T997301806201900000002"|"P997301806201900000001-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997301808201800000002"|"T997301808201800000004"|"20180201"|"Ant forest Gaming"|"21100023456789000000000000"|"22"|"34567890"|"11"|""|""|"CNY"|"1564.44"|"-9999.00"|"11"|"Ant forest Gaming"|"19399901040059741"|"0"|"T997301808201800000004"|"P997301808201800000002-01"|"20191013000000"
