company_code1|company_code2|company_code3|pol_no|app_no|ins_state|sale_type|sale_name|ins_date|eff_date|app_name|app_cst_no|app_id_type|app_id_no|ins_name|ins_cst_no|ins_id_no|ins_cus_pro|relation|legal_type|benefit_cus_pro|benefit_name|benefit_cst_no|benefit_id_no|ins_no|cur_code|pre_amt|usd_amt|prof_type|del_way|del_period|limit|subject|tsf_flag|acc_name|acc_no|acc_bank|receipt_no|pt
"99730000"|"F1008933000019"|"99730000"|"P997304805201700000002"|"T997304805201700000002"|"11"|"17"|"null"|"20171222"|"20171223"|"软通太平"|"11200021244123000000000000"|"13"|"1244123"|"软通太平"|"11200021244123000000000000"|"1244123"|"11"|"12"|""|"1"|"对对对"|"11200091231230000000000000"|"123123"|"04805"|"CNY"|"91000.00"|"null"|"12"|"11"|"14"|"1"|""|"10"|"null"|"null"|"null"|"T997304805201700000002"|"20191013000000"
"99730000"|"F1008933000019"|"99730000"|"P997304805201700000002"|"T997304805201700000002"|"11"|"17"|"null"|"20171222"|"20171223"|"软通太平"|"11200021244123000000000000"|"13"|"1244123"|"软通太平"|"11200021244123000000000000"|"1244123"|"11"|"12"|""|"1"|"123"|"11200091241240000000000000"|"124124"|"04805"|"CNY"|"91000.00"|"null"|"12"|"11"|"14"|"1"|""|"10"|"null"|"null"|"null"|"T997304805201700000002"|"20191013000000"
"99730000"|"F1008933000019"|"99730000"|"P997304805201800000001"|"T997304805201800000001"|"11"|"17"|"null"|"20180202"|"20180203"|"软通太平"|"11200021244123000000000000"|"13"|"1244123"|"软通太平"|"11200021244123000000000000"|"1244123"|"11"|"12"|""|"1"|"对对对"|"11200091231230000000000000"|"123123"|"04805"|"CNY"|"4450.00"|"null"|"12"|"11"|"14"|"1"|""|"11"|"软通太平"|"19399901040059741"|"0"|"T997304805201800000001"|"20191013000000"
"99730000"|"F1008933000019"|"99730000"|"P997304805201800000001"|"T997304805201800000001"|"11"|"17"|"null"|"20180202"|"20180203"|"软通太平"|"11200021244123000000000000"|"13"|"1244123"|"软通太平"|"11200021244123000000000000"|"1244123"|"11"|"12"|""|"1"|"123"|"11200091241240000000000000"|"124124"|"04805"|"CNY"|"4450.00"|"null"|"12"|"11"|"14"|"1"|""|"11"|"软通太平"|"19399901040059741"|"0"|"T997304805201800000001"|"20191013000000"
"99730000"|"F1008933000019"|"99730000"|"P997304805201800000002"|"T997304805201800000002"|"11"|"13"|"222兼业公司"|"20180202"|"20180203"|"软通太平"|"11200021244123000000000000"|"13"|"1244123"|"软通太平"|"11200021244123000000000000"|"1244123"|"11"|"12"|""|"1"|"对对对"|"11200091231230000000000000"|"123123"|"04805"|"CNY"|"4704.00"|"null"|"12"|"11"|"14"|"1"|""|"11"|"软通太平"|"19399901040059741"|"0"|"T997304805201800000002"|"20191013000000"
"99730000"|"F1008933000019"|"99730000"|"P997304805201800000002"|"T997304805201800000002"|"11"|"13"|"222兼业公司"|"20180202"|"20180203"|"软通太平"|"11200021244123000000000000"|"13"|"1244123"|"软通太平"|"11200021244123000000000000"|"1244123"|"11"|"12"|""|"1"|"123"|"11200091241240000000000000"|"124124"|"04805"|"CNY"|"4704.00"|"null"|"12"|"11"|"14"|"1"|""|"11"|"软通太平"|"19399901040059741"|"0"|"T997304805201800000002"|"20191013000000"
"99730000"|"F1008933000019"|"99730000"|"P997304805201800000003"|"T997304805201800000003"|"11"|"17"|"null"|"20180202"|"20180203"|"软通太平"|"11200021244123000000000000"|"13"|"1244123"|"软通太平"|"11200021244123000000000000"|"1244123"|"11"|"12"|""|"1"|"对对对"|"11200091231230000000000000"|"123123"|"04805"|"CNY"|"18928.47"|"null"|"12"|"11"|"14"|"1"|""|"11"|"软通太平"|"19399901040059856"|"null"|"T997304805201800000003"|"20191013000000"
"99730000"|"F1008933000019"|"99730000"|"P997304805201800000003"|"T997304805201800000003"|"11"|"17"|"null"|"20180202"|"20180203"|"软通太平"|"11200021244123000000000000"|"13"|"1244123"|"软通太平"|"11200021244123000000000000"|"1244123"|"11"|"12"|""|"1"|"123"|"11200091241240000000000000"|"124124"|"04805"|"CNY"|"18928.47"|"null"|"12"|"11"|"14"|"1"|""|"11"|"软通太平"|"19399901040059856"|"null"|"T997304805201800000003"|"20191013000000"
"99730000"|"F1008933000019"|"99730000"|"P997304805201800000004"|"T997304805201800000004"|"11"|"17"|"null"|"20180202"|"20180203"|"软通太平"|"11200021244123000000000000"|"13"|"1244123"|"软通太平"|"11200021244123000000000000"|"1244123"|"11"|"12"|""|"1"|"对对对"|"11200091231230000000000000"|"123123"|"04805"|"CNY"|"2962.94"|"null"|"12"|"11"|"14"|"1"|""|"11"|"盛腾"|"19399901040059741"|"0"|"T997304805201800000004"|"20191013000000"
"99730000"|"F1008933000019"|"99730000"|"P997304805201800000004"|"T997304805201800000004"|"11"|"17"|"null"|"20180202"|"20180203"|"软通太平"|"11200021244123000000000000"|"13"|"1244123"|"软通太平"|"11200021244123000000000000"|"1244123"|"11"|"12"|""|"1"|"123"|"11200091241240000000000000"|"124124"|"04805"|"CNY"|"2962.94"|"null"|"12"|"11"|"14"|"1"|""|"11"|"盛腾"|"19399901040059741"|"0"|"T997304805201800000004"|"20191013000000"
