company_code1|company_code2|company_code3|company_code4|pay_type|pol_no|app_no|ins_date|eff_date|cur_code|pre_amt_all|usd_amt_all|pay_amt_all|usd_pay_amt_all|app_name|app_cst_no|id_no|cus_pro|sur_name|sur_id_no|sur_date|pay_date|cur_code2|sur_amt|usd_sur_amt|tsf_flag|acc_name|acc_no|acc_bank|receipt_no|endorse_no|pt
"33640000"|"F1008933000020"|""|""|"11"|"P336401001201800000012"|"T336401001201800000020"|"181206"|"181207"|""|"null"|"null"|"null"|"null"|"许露露"|"11200028475093749050900005"|"84750937490509"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T336401001201800000020"|"P336401001201800000012-01"|"20191013000000"
"33640000"|"F1008933000020"|""|""|"11"|"P336401001201800000013"|"T336401001201800000022"|"181206"|"180106"|""|"null"|"null"|"null"|"null"|"许露露"|"11200028475093749050900005"|"84750937490509"|"11"|""|""|""|""|""|"null"|"null"|"11"|"许露露"|"null"|"null"|"T336401001201800000022"|"P336401001201800000013-01"|"20191013000000"
"33640000"|"F1008933000020"|""|""|"11"|"P336401001201800000015"|"T336401001201800000025"|"181219"|"181220"|""|"null"|"null"|"null"|"null"|"许露露"|"11200028475093749050900005"|"84750937490509"|"11"|""|""|""|""|""|"null"|"null"|"11"|"许露露"|"null"|"null"|"T336401001201800000025"|"P336401001201800000015-01"|"20191013000000"
"33640000"|"F1008933000020"|""|""|"11"|"P336401003201800000013"|"T336401003201800000020"|"181206"|"181207"|""|"null"|"null"|"null"|"null"|"许露露"|"11200028797907000000000000"|"8797907"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T336401003201800000020"|"P336401003201800000013-01"|"20191013000000"
"33640000"|"F1008933000020"|""|""|"11"|"P336401003201800000012"|"T336401003201800000021"|"181206"|"180106"|""|"null"|"null"|"null"|"null"|"许露露"|"11200038965089790579000007"|"89650897905790"|"11"|""|""|""|""|""|"null"|"null"|"11"|"许露露"|"null"|"null"|"T336401003201800000021"|"P336401003201800000012-01"|"20191013000000"
"33640000"|"F1008933000020"|""|""|"11"|"P336401007201800000010"|"T336401007201800000014"|"181207"|"181208"|""|"null"|"null"|"null"|"null"|"许露露"|"11200034856840375903090003"|"485684037590309"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T336401007201800000014"|"P336401007201800000010-01"|"20191013000000"
"33640000"|"F1008933000020"|""|""|"11"|"P336401007201800000004"|"T336401007201800000016"|"181207"|"181107"|""|"null"|"null"|"null"|"null"|"许露露"|"11200034856840375903090003"|"485684037590309"|"11"|""|""|""|""|""|"null"|"null"|"11"|"许露露"|"null"|"null"|"T336401007201800000016"|"P336401007201800000004-01"|"20191013000000"
"33640000"|"F1008933000020"|""|""|"12"|"P336401007201800000009"|"T336401007201800000018"|"181207"|"181208"|""|"null"|"null"|"null"|"null"|"许露露"|"11200034856840375903090003"|"485684037590309"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T336401007201800000018"|"P336401007201800000009-02"|"20191013000000"
"33640000"|"F1008933000020"|""|""|"11"|"P336401602201800000006"|"T336401602201800000018"|"181212"|"181213"|""|"null"|"null"|"null"|"null"|"许露露"|"11200028537904750434000007"|"8537904750434"|"11"|""|""|""|""|""|"null"|"null"|"11"|"许露露"|"null"|"null"|"T336401602201800000018"|"P336401602201800000006-01"|"20191013000000"
"33640000"|"F1008933000020"|""|""|"12"|"P336401808201800000001"|"T336401808201800000003"|"181210"|"181211"|""|"null"|"null"|"null"|"null"|"浙分-测试"|"21100026234325435213400008"|"62343254352134"|"12"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T336401808201800000003"|"P336401808201800000001-01"|"20191013000000"
